Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
MSFT,MICROSOFT CORP,Information Technology,Equity,"914,977,796.34",5.99,"914,977,796.34","1,976,322.00",462.97,United States,NASDAQ,USD,1.00,--
NVDA,NVIDIA CORP,Information Technology,Equity,"878,231,504.58",5.75,"878,231,504.58","6,218,889.00",141.22,United States,NASDAQ,USD,1.00,--
AAPL,APPLE INC,Information Technology,Equity,"795,906,124.24",5.21,"795,906,124.24","3,915,512.00",203.27,United States,NASDAQ,USD,1.00,--
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"513,105,538.65",3.36,"513,105,538.65","2,494,315.00",205.71,United States,NASDAQ,USD,1.00,--
META,META PLATFORMS INC CLASS A,Communication,Equity,"388,284,748.95",2.54,"388,284,748.95","582,267.00",666.85,United States,NASDAQ,USD,1.00,--
AVGO,BROADCOM INC,Information Technology,Equity,"313,926,179.60",2.06,"313,926,179.60","1,222,216.00",256.85,United States,NASDAQ,USD,1.00,--
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"259,575,320.34",1.70,"259,575,320.34","1,562,013.00",166.18,United States,NASDAQ,USD,1.00,--
TSLA,TESLA INC,Consumer Discretionary,Equity,"254,267,493.90",1.67,"254,267,493.90","738,570.00",344.27,United States,NASDAQ,USD,1.00,--
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"242,150,485.96",1.59,"242,150,485.96","486,412.00",497.83,United States,New York Stock Exchange Inc.,USD,1.00,--
GOOG,ALPHABET INC CLASS C,Communication,Equity,"216,274,287.83",1.42,"216,274,287.83","1,289,573.00",167.71,United States,NASDAQ,USD,1.00,--
JPM,JPMORGAN CHASE & CO,Financials,Equity,"198,812,359.39",1.30,"198,812,359.39","746,657.00",266.27,United States,New York Stock Exchange Inc.,USD,1.00,--
V,VISA INC CLASS A,Financials,Equity,"167,765,103.00",1.10,"167,765,103.00","458,550.00",365.86,United States,New York Stock Exchange Inc.,USD,1.00,--
LLY,ELI LILLY,Health Care,Equity,"159,771,990.24",1.05,"159,771,990.24","212,808.00",750.78,United States,New York Stock Exchange Inc.,USD,1.00,--
NFLX,NETFLIX INC,Communication,Equity,"138,455,419.20",0.91,"138,455,419.20","113,680.00","1,217.94",United States,NASDAQ,USD,1.00,--
MA,MASTERCARD INC CLASS A,Financials,Equity,"126,089,038.23",0.83,"126,089,038.23","216,659.00",581.97,United States,New York Stock Exchange Inc.,USD,1.00,--
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"124,327,390.20",0.81,"124,327,390.20","117,780.00","1,055.59",United States,NASDAQ,USD,1.00,--
XOM,EXXON MOBIL CORP,Energy,Equity,"121,243,486.20",0.79,"121,243,486.20","1,168,049.00",103.80,United States,New York Stock Exchange Inc.,USD,1.00,--
WMT,WALMART INC,Consumer Staples,Equity,"115,319,431.50",0.76,"115,319,431.50","1,153,425.00",99.98,United States,New York Stock Exchange Inc.,USD,1.00,--
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"104,638,475.85",0.69,"104,638,475.85","627,141.00",166.85,United States,New York Stock Exchange Inc.,USD,1.00,--
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"99,020,280.80",0.65,"99,020,280.80","641,240.00",154.42,United States,New York Stock Exchange Inc.,USD,1.00,--
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"98,376,719.04",0.64,"98,376,719.04","263,688.00",373.08,United States,New York Stock Exchange Inc.,USD,1.00,--
ABBV,ABBVIE INC,Health Care,Equity,"88,224,335.50",0.58,"88,224,335.50","471,158.00",187.25,United States,New York Stock Exchange Inc.,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"78,966,114.70",0.52,"78,966,114.70","1,768,558.00",44.65,United States,New York Stock Exchange Inc.,USD,1.00,--
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"75,278,688.60",0.49,"75,278,688.60","412,780.00",182.37,United States,New York Stock Exchange Inc.,USD,1.00,--
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"73,613,348.48",0.48,"73,613,348.48","244,384.00",301.22,United States,New York Stock Exchange Inc.,USD,1.00,--
KO,COCA-COLA,Consumer Staples,Equity,"73,359,982.56",0.48,"73,359,982.56","1,030,916.00",71.16,United States,New York Stock Exchange Inc.,USD,1.00,--
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"72,821,750.61",0.48,"72,821,750.61","546,833.00",133.17,United States,NASDAQ,USD,1.00,--
ORCL,ORACLE CORP,Information Technology,Equity,"71,816,336.58",0.47,"71,816,336.58","424,597.00",169.14,United States,New York Stock Exchange Inc.,USD,1.00,--
GE,GE AEROSPACE,Industrials,Equity,"71,114,353.63",0.47,"71,114,353.63","285,749.00",248.87,United States,New York Stock Exchange Inc.,USD,1.00,--
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"68,348,260.48",0.45,"68,348,260.48","1,061,968.00",64.36,United States,NASDAQ,USD,1.00,--
WFC,WELLS FARGO,Financials,Equity,"66,137,995.95",0.43,"66,137,995.95","874,263.00",75.65,United States,New York Stock Exchange Inc.,USD,1.00,--
CRM,SALESFORCE INC,Information Technology,Equity,"65,009,899.64",0.43,"65,009,899.64","245,812.00",264.47,United States,New York Stock Exchange Inc.,USD,1.00,--
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"64,594,498.80",0.42,"64,594,498.80","243,569.00",265.20,United States,New York Stock Exchange Inc.,USD,1.00,--
ABT,ABBOTT LABORATORIES,Health Care,Equity,"61,414,741.23",0.40,"61,414,741.23","459,313.00",133.71,United States,New York Stock Exchange Inc.,USD,1.00,--
CVX,CHEVRON CORP,Energy,Equity,"60,683,596.60",0.40,"60,683,596.60","434,852.00",139.55,United States,New York Stock Exchange Inc.,USD,1.00,--
LIN,LINDE PLC,Materials,Equity,"60,082,974.26",0.39,"60,082,974.26","127,343.00",471.82,United States,NASDAQ,USD,1.00,--
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"59,757,395.49",0.39,"59,757,395.49","191,291.00",312.39,United States,New York Stock Exchange Inc.,USD,1.00,--
INTU,INTUIT INC,Information Technology,Equity,"55,470,730.38",0.36,"55,470,730.38","72,543.00",764.66,United States,NASDAQ,USD,1.00,--
NOW,SERVICENOW INC,Information Technology,Equity,"55,110,144.96",0.36,"55,110,144.96","54,517.00","1,010.88",United States,New York Stock Exchange Inc.,USD,1.00,--
DIS,WALT DISNEY,Communication,Equity,"54,907,992.00",0.36,"54,907,992.00","483,345.00",113.60,United States,New York Stock Exchange Inc.,USD,1.00,--
T,AT&T INC,Communication,Equity,"53,342,311.68",0.35,"53,342,311.68","1,907,808.00",27.96,United States,New York Stock Exchange Inc.,USD,1.00,--
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"52,145,723.70",0.34,"52,145,723.70","166,653.00",312.90,United States,New York Stock Exchange Inc.,USD,1.00,--
MRK,MERCK & CO INC,Health Care,Equity,"51,973,692.12",0.34,"51,973,692.12","673,758.00",77.14,United States,New York Stock Exchange Inc.,USD,1.00,--
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"51,902,596.20",0.34,"51,902,596.20","94,052.00",551.85,United States,NASDAQ,USD,1.00,--
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"50,177,944.78",0.33,"50,177,944.78","427,738.00",117.31,United States,NASDAQ,USD,1.00,--
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"49,098,234.51",0.32,"49,098,234.51","1,120,197.00",43.83,United States,New York Stock Exchange Inc.,USD,1.00,--
RTX,RTX CORP,Industrials,Equity,"48,559,087.50",0.32,"48,559,087.50","353,157.00",137.50,United States,New York Stock Exchange Inc.,USD,1.00,--
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"48,433,808.13",0.32,"48,433,808.13","80,211.00",603.83,United States,New York Stock Exchange Inc.,USD,1.00,--
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"48,224,416.56",0.32,"48,224,416.56","8,808.00","5,475.07",United States,NASDAQ,USD,1.00,--
PEP,PEPSICO INC,Consumer Staples,Equity,"48,188,010.60",0.32,"48,188,010.60","365,476.00",131.85,United States,NASDAQ,USD,1.00,--
ADBE,ADOBE INC,Information Technology,Equity,"47,744,067.54",0.31,"47,744,067.54","115,746.00",412.49,United States,NASDAQ,USD,1.00,--
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"45,517,805.04",0.30,"45,517,805.04","242,013.00",188.08,United States,NASDAQ,USD,1.00,--
CAT,CATERPILLAR INC,Industrials,Equity,"44,857,719.00",0.29,"44,857,719.00","128,385.00",349.40,United States,New York Stock Exchange Inc.,USD,1.00,--
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"44,527,163.31",0.29,"44,527,163.31","539,527.00",82.53,United States,New York Stock Exchange Inc.,USD,1.00,--
PGR,PROGRESSIVE CORP,Financials,Equity,"44,523,750.00",0.29,"44,523,750.00","155,000.00",287.25,United States,New York Stock Exchange Inc.,USD,1.00,--
QCOM,QUALCOMM INC,Information Technology,Equity,"44,170,242.16",0.29,"44,170,242.16","296,564.00",148.94,United States,NASDAQ,USD,1.00,--
AXP,AMERICAN EXPRESS,Financials,Equity,"43,819,821.72",0.29,"43,819,821.72","147,348.00",297.39,United States,New York Stock Exchange Inc.,USD,1.00,--
SPGI,S&P GLOBAL INC,Financials,Equity,"42,574,691.50",0.28,"42,574,691.50","83,105.00",512.30,United States,New York Stock Exchange Inc.,USD,1.00,--
BA,BOEING,Industrials,Equity,"42,472,996.86",0.28,"42,472,996.86","199,002.00",213.43,United States,New York Stock Exchange Inc.,USD,1.00,--
AMGN,AMGEN INC,Health Care,Equity,"41,316,716.31",0.27,"41,316,716.31","142,683.00",289.57,United States,NASDAQ,USD,1.00,--
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"40,572,898.50",0.27,"40,572,898.50","101,450.00",399.93,United States,New York Stock Exchange Inc.,USD,1.00,--
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"40,215,289.10",0.26,"40,215,289.10","390,061.00",103.10,United States,New York Stock Exchange Inc.,USD,1.00,--
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"39,272,708.91",0.26,"39,272,708.91","173,183.00",226.77,United States,NASDAQ,USD,1.00,--
MS,MORGAN STANLEY,Financials,Equity,"39,265,157.84",0.26,"39,265,157.84","305,138.00",128.68,United States,New York Stock Exchange Inc.,USD,1.00,--
NEE,NEXTERA ENERGY INC,Utilities,Equity,"38,742,176.55",0.25,"38,742,176.55","546,049.00",70.95,United States,New York Stock Exchange Inc.,USD,1.00,--
SCHW,CHARLES SCHWAB CORP,Financials,Equity,"38,736,192.00",0.25,"38,736,192.00","440,184.00",88.00,United States,New York Stock Exchange Inc.,USD,1.00,--
TJX,TJX INC,Consumer Discretionary,Equity,"38,586,669.12",0.25,"38,586,669.12","301,176.00",128.12,United States,New York Stock Exchange Inc.,USD,1.00,--
C,CITIGROUP INC,Financials,Equity,"38,445,916.92",0.25,"38,445,916.92","502,364.00",76.53,United States,New York Stock Exchange Inc.,USD,1.00,--
BLK,BLACKROCK INC,Financials,Equity,"38,421,907.73",0.25,"38,421,907.73","39,121.00",982.13,United States,New York Stock Exchange Inc.,USD,1.00,--
SYK,STRYKER CORP,Health Care,Equity,"36,649,351.90",0.24,"36,649,351.90","96,190.00",381.01,United States,New York Stock Exchange Inc.,USD,1.00,--
GILD,GILEAD SCIENCES INC,Health Care,Equity,"36,235,897.88",0.24,"36,235,897.88","331,436.00",109.33,United States,NASDAQ,USD,1.00,--
UNP,UNION PACIFIC CORP,Industrials,Equity,"35,940,557.90",0.24,"35,940,557.90","162,055.00",221.78,United States,New York Stock Exchange Inc.,USD,1.00,--
GEV,GE VERNOVA INC,Industrials,Equity,"35,720,606.20",0.23,"35,720,606.20","72,460.00",492.97,United States,New York Stock Exchange Inc.,USD,1.00,--
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"35,538,545.61",0.23,"35,538,545.61","108,837.00",326.53,United States,NASDAQ,USD,1.00,--
PFE,PFIZER INC,Health Care,Equity,"35,181,188.15",0.23,"35,181,188.15","1,506,689.00",23.35,United States,New York Stock Exchange Inc.,USD,1.00,--
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"35,032,237.04",0.23,"35,032,237.04","216,596.00",161.74,United States,NASDAQ,USD,1.00,--
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"34,593,903.38",0.23,"34,593,903.38","998,093.00",34.66,United States,NASDAQ,USD,1.00,--
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"34,262,800.00",0.22,"34,262,800.00","149,750.00",228.80,United States,New York Stock Exchange Inc.,USD,1.00,--
ETN,EATON PLC,Industrials,Equity,"34,147,054.48",0.22,"34,147,054.48","104,797.00",325.84,United States,New York Stock Exchange Inc.,USD,1.00,--
DE,DEERE,Industrials,Equity,"34,044,936.75",0.22,"34,044,936.75","66,345.00",513.15,United States,New York Stock Exchange Inc.,USD,1.00,--
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"33,857,134.08",0.22,"33,857,134.08","171,759.00",197.12,United States,NASDAQ,USD,1.00,--
DHR,DANAHER CORP,Health Care,Equity,"32,985,344.70",0.22,"32,985,344.70","171,745.00",192.06,United States,New York Stock Exchange Inc.,USD,1.00,--
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"32,933,332.35",0.22,"32,933,332.35","168,345.00",195.63,United States,New York Stock Exchange Inc.,USD,1.00,--
CB,CHUBB LTD,Financials,Equity,"31,901,126.25",0.21,"31,901,126.25","107,625.00",296.41,United States,New York Stock Exchange Inc.,USD,1.00,--
MMC,MARSH & MCLENNAN INC,Financials,Equity,"30,792,259.74",0.20,"30,792,259.74","131,109.00",234.86,United States,New York Stock Exchange Inc.,USD,1.00,--
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"30,696,392.96",0.20,"30,696,392.96","68,752.00",446.48,United States,NASDAQ,USD,1.00,--
